title,description,topics,main_topic,topic_confidence,all_scores
А это нормально?,"Вопрос, который задавал себе каждый хотя бы раз в жизни вне зависимости от пола, возраста, национальности и идентичности. Это вопрос, который появляется, когда мы сталкиваемся с чем-то новым, необычным или выходящим за рамки наших обыденных представлений о чем-либо. Самое главное, что этот вопрос - наше объединение: в чувствах, мыслях и ощущениях. В этом подкасте мы с приглашенными гостями совместно ищем ответы на самые разные психологические вопросы. Где-то мы находим ответы, где-то открываем еще больше вопросов. Мы ценим путь исследователя, совместный поиск и рефлексию как процесс. Если вам близок такой путь, пожалуйста, присоединяйтесь, мы будем рады разделить его с вами. Надеемся, вы найдете для себя здесь поддержку и опору, как и мы. Ведущая подкаста: Анастасия Гудкова, психолог-психотерапевт","психотерапия, психология и саморазвитие, история",психотерапия,0.993,"{""психотерапия"": 0.993, ""психология и саморазвитие"": 0.968, ""история"": 0.724, ""юмор"": 0.374, ""отношения и секс"": 0.329, ""образование"": 0.165, ""неврология и мозг"": 0.058, ""литература"": 0.022, ""инфобизнес и мошенничество"": 0.002, ""путешествия"": 0.002}"
Сексуальность. Марина Петраш,"Сегодня у меня в гостях немедицинский психотерапевт, ведущая групп, супервизор, тренер Московского Института Гештальта и Психодрамы, тренер ассоциации психодрамы в России - Марина Петраш. Сегодня будем говорить о сексуальности и о том, почему эта тема совсем не о рецепте внешней привлекательности.","психотерапия, отношения и секс, психология и саморазвитие",психотерапия,0.998,"{""психотерапия"": 0.998, ""отношения и секс"": 0.944, ""психология и саморазвитие"": 0.939, ""история"": 0.305, ""образование"": 0.226, ""литература"": 0.2, ""музыка"": 0.188, ""юмор"": 0.164, ""кино и сериалы"": 0.163, ""загадки и мистика"": 0.082}"
"Как УСНУТЬ БЕЗ УСИЛИЙ: техника, которая парадоксально работает | Невролог-сомнолог Ирина Галеева","Бессонница, плохой сон и постоянное ощущение, что сна не хватает — когда это временное состояние, а когда признак нарушения сна? В этом выпуске подкаста 'Ковалева слушает' врач-невролог, сомнолог, автор книги 'Вынос мозга' Ирина Галеева объясняет, какие проблемы со сном действительно требуют внимания, а что может быть индивидуальной особенностью. Почему нельзя выспаться впрок? Сколько часов нужно спать на самом деле? Опасен ли храп? Стоит ли доверять трекерам сна? Что делать, если вы просыпаетесь в 4 утра или спите 8 часов и все равно чувствуете разбитость? В выпуске обсуждаем: критерии бессонницы: когда это диагноз; можно ли заставить себя уснуть; ночные пробуждения: норма или проблема; совы и жаворонки: как формируются циркадные ритмы; как наука объясняет вещие сны; можно ли управлять сновидением и безопасно ли это.","медицина и здоровье, технологии, литература",медицина и здоровье,0.747,"{""медицина и здоровье"": 0.747, ""технологии"": 0.675, ""литература"": 0.659, ""юмор"": 0.561, ""неврология и мозг"": 0.338, ""история"": 0.081, ""образование"": 0.068, ""музыка"": 0.037, ""загадки и мистика"": 0.021, ""кино и сериалы"": 0.005}"
Кто покупает воздух в надежде на успешный успех,"Игорь работал в офисе, но ему хотелось запустить свое дело. Арина в депрессии уволилась с работы баристой, ей очень хотелось перемен. Гузель вышла из долгого декрета и искала новую профессию. Все началось с рекламного баннера, за ним последовала PDF-брошюра, бесплатный вебинар, первая встреча — и вскоре все трое купили свой первый курс, обещающий сделать их богатыми и счастливыми. Это первый выпуск пятого сезона, который посвящен инфомошенникам — продавцам воздуха под видом образования. В этом выпуске мы проследим, как люди из разных поколений и с разным бэкграундом попадают в воронку продаж инфобизнеса. И разберем с психологом Лилией Левицкой, какие манипуляции заставляют людей покупать обещающие невозможное инфопродукты.","маркетинг и продажи, история, инфобизнес и мошенничество",маркетинг и продажи,0.995,"{""маркетинг и продажи"": 0.995, ""история"": 0.983, ""инфобизнес и мошенничество"": 0.976, ""образование"": 0.92, ""психотерапия"": 0.395, ""карьера и работа"": 0.256, ""юмор"": 0.25, ""семья и дети"": 0.214, ""бизнес и предпринимательство"": 0.162, ""психология и саморазвитие"": 0.116}"
194. Загадка на пляже Прествик: что случилось с Энни Бёрьессон,"Холодное утро на побережье Прествика, Шотландия. Серый свет, низкое небо, ветер с залива. Тишину разрывает лай собаки, которая что-то почуяла на пляже. Её хозяин подходит ближе и там, на песке, видит тело девушки — Энни Бёрьессон. Картина полна противоречий: ее светлые волосы спутаны песком и водрослями, но лежит она слишком далеко от воды. Рюкзак и пальто при ней, но вещи чересчур сухие. Несмотря на все странности, полиция, толком не разобравшись в случившемся, закроет дело с финальным решением — самоубийство. Но если все так просто, почему с ее телефона и почты исчезли все звонки, письма и сообщения? Почему пропали все ее следы последних дней? И что вообще может связывать эту девушку с ЦРУ?","загадки и мистика, шпионаж и спецслужбы, история",загадки и мистика,0.997,"{""загадки и мистика"": 0.997, ""шпионаж и спецслужбы"": 0.994, ""история"": 0.988, ""юмор"": 0.948, ""детективы и расследования"": 0.873, ""технологии"": 0.294, ""литература"": 0.266, ""криминал и true crime"": 0.02, ""путешествия"": 0.009, ""образование"": 0.003}"
Очень много лёгкой атлетики. Это не шутка,От почти_мирового рекорда Каралиса до золотого дубля Мендаевой. Осмысляем всё произошедшее в мире лёгкой атлетики на этой неделе.,"история, литература, образование",история,0.919,"{""история"": 0.919, ""литература"": 0.709, ""образование"": 0.622, ""спорт и фитнес"": 0.484, ""технологии"": 0.272, ""маркетинг и продажи"": 0.236, ""юмор"": 0.176, ""карьера и работа"": 0.171, ""неврология и мозг"": 0.131, ""шпионаж и спецслужбы"": 0.097}"
Старый волк борозды не испортит. В 2026 брендам будут не нужны амбассадоры,Обсуждаем туманные перспективы российских брендов беговой одежды в 2026 и выступление Степана Киселёва на полумарафоне в Остине.,"бизнес и предпринимательство, загадки и мистика, история",бизнес и предпринимательство,0.997,"{""бизнес и предпринимательство"": 0.997, ""загадки и мистика"": 0.969, ""история"": 0.964, ""маркетинг и продажи"": 0.947, ""литература"": 0.921, ""инфобизнес и мошенничество"": 0.84, ""карьера и работа"": 0.804, ""юмор"": 0.79, ""семья и дети"": 0.754, ""технологии"": 0.647}"
Сыктывкар. Выльгорт и вдохновение Кандинского. В гостях Ольга Торлопова,"Добро пожаловать в новый сезон! Первый выпуск после перерыва и сразу Республика Коми. Душевно поговорили с гидом-экскурсоводом Ольгой Торлоповой о том, как устроены экскурсии в сельской местности, как покорить сердца деловой публики, что для города сделала Екатерина Великая, как добраться до Маньпупунера и кристально чистых озер. Разобрались как отличить коми-зырян от коми-пермяков, как звучит сигудэк и главное, почему странности у гидов это изюминка. Приятного прослушивания!","юмор, музыка, путешествия",юмор,0.975,"{""юмор"": 0.975, ""музыка"": 0.964, ""путешествия"": 0.942, ""история"": 0.849, ""карьера и работа"": 0.836, ""образование"": 0.736, ""бизнес и предпринимательство"": 0.66, ""загадки и мистика"": 0.552, ""маркетинг и продажи"": 0.271, ""политика"": 0.213}"
Опека вместо прав: от Розмари Кеннеди до Бритни Спирс,"История о том, как в одной богатой и успешной семье родилась девочка с особенностями развития, что впоследствии изменило не только жизни нескольких поколений этой семьи, но и общество, законодательство и даже спорт.","история, семья и дети, литература",история,0.999,"{""история"": 0.999, ""семья и дети"": 0.997, ""литература"": 0.996, ""политика"": 0.946, ""кино и сериалы"": 0.908, ""карьера и работа"": 0.844, ""отношения и секс"": 0.798, ""загадки и мистика"": 0.773, ""психология и саморазвитие"": 0.758, ""детективы и расследования"": 0.731}"
Как с доходами у выпускников топ-вузов? Стоит ли завидовать дипломам Гарварда и Оксфорда,"Сколько стоит год в одном из топовых вузов мира? Помогает ли диплом MIT привлечь инвестиции в бизнес? Получится ли найти работу за рубежом и остаться? Разбираемся вместе с героями выпуска: выпускницей Оксфорда Елизаветой Белкиной, предпринимателем и выпускником MIT Андреем Бирючинским, экс-сотрудницей Google и выпускницей Гарварда Маргаритой Рудник.","образование, технологии, бизнес и предпринимательство",образование,0.999,"{""образование"": 0.999, ""технологии"": 0.995, ""бизнес и предпринимательство"": 0.994, ""карьера и работа"": 0.918, ""инфобизнес и мошенничество"": 0.699, ""финансы и инвестиции"": 0.637, ""юмор"": 0.472, ""загадки и мистика"": 0.387, ""литература"": 0.342, ""маркетинг и продажи"": 0.305}"
«Секс в большом городе»: фразовые глаголы о факапах,"Подборка фразовых глаголов о трудностях, факапах и переживаниях из «Секса в большом городе».","отношения и секс, изучение языков, кино и сериалы",отношения и секс,0.836,"{""отношения и секс"": 0.836, ""изучение языков"": 0.781, ""кино и сериалы"": 0.769, ""литература"": 0.659, ""образование"": 0.532, ""психология и саморазвитие"": 0.469, ""юмор"": 0.451, ""маркетинг и продажи"": 0.257, ""детективы и расследования"": 0.232, ""неврология и мозг"": 0.231}"
117. Грозовой перевал 2026. Смелая адаптация романа или безвкусный фанфик?,"Мы посмотрели «Грозовой перевал» Эмиральд Феннел и честно отвечаем на главный вопрос: это свежий взгляд на классический роман или слишком вольное обращение с оригинальным текстом. Также обсуждаем, что можно считать хорошей экранизацией, подходят ли Марго Робби и Джейкоб Элорди на главные роли, касаемся теорий заговора вокруг Эмили Бронте. А Илья в прямом эфире дополучает образование. В гостях — Ира Торова из подкаста «По мотивам».","литература, история, психология и саморазвитие",литература,0.994,"{""литература"": 0.994, ""история"": 0.979, ""психология и саморазвитие"": 0.966, ""кино и сериалы"": 0.863, ""образование"": 0.792, ""отношения и секс"": 0.776, ""карьера и работа"": 0.773, ""детективы и расследования"": 0.576, ""шпионаж и спецслужбы"": 0.458, ""юмор"": 0.423}"
Какую роль свет играет в нашей жизни и в интерьере,"Свет всегда символизировал безопасность и комфорт, религиозные люди придавали ему сакральное значение, а архитекторы называли еще одним строительным материалом. В этом выпуске поговорим о том, какую роль освещение играет в развитии человечества. Как свет в интерьере влияет на наше самочувствие и поведение и на что обратить внимание при продумывании сценариев освещения в своем доме.","дом и интерьер, литература, технологии",дом и интерьер,0.994,"{""дом и интерьер"": 0.994, ""литература"": 0.914, ""технологии"": 0.823, ""история"": 0.728, ""психология и саморазвитие"": 0.288, ""загадки и мистика"": 0.241, ""юмор"": 0.219, ""образование"": 0.088, ""психотерапия"": 0.019, ""неврология и мозг"": 0.007}"
Ипотека на дом в 2025: что изменится? Как строить с эскроу-счетами?,"Стоит ли брать ипотеку на строительство дома в 2025 году? Как изменятся условия после 1 марта? Что такое эскроу-счета, и как они повлияют на застройщиков и клиентов? В этом выпуске «Говорить – не строить» мы разбираем новые правила кредитования ИЖС, льготные программы, риски и подводные камни при строительстве загородных домов.","литература, история, юмор",литература,0.648,"{""литература"": 0.648, ""история"": 0.357, ""юмор"": 0.231, ""семья и дети"": 0.082, ""финансы и инвестиции"": 0.082, ""дом и интерьер"": 0.062, ""бизнес и предпринимательство"": 0.049, ""образование"": 0.035, ""карьера и работа"": 0.03, ""политика"": 0.023}"
"Кутузов против Александра, союзники России, «Война и мир». 5 простых вопросов историку / Борис Кипнис",Почему гений Наполеона оказался бессилен против русских пространств? Кто на самом деле настоял на Заграничном походе — и был ли у Александра I выбор? Что ветераны Бородина не простили Толстому в «Войне и мире»? И когда крестьянин перестал видеть во французе «басурмана»? В третьем выпуске с ответами на вопросы о войне 1812 года с Борисом Кипнисом разбираем: роковые ошибки французского императора; спор Александра I против Кутузова; союзники России; правда и вымысел Толстого; национальная память; какой фильм о 1812 годе Борис Кипнис считает лучшим.,"литература, история, образование",литература,0.861,"{""литература"": 0.861, ""история"": 0.811, ""образование"": 0.217, ""карьера и работа"": 0.153, ""кино и сериалы"": 0.096, ""юмор"": 0.057, ""политика"": 0.008, ""путешествия"": 0.008, ""загадки и мистика"": 0.005, ""неврология и мозг"": 0.005}"
